                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.201,                 3.0024,                 1.2736,                0.80934,                0.25789,                 0.2747,                0.16797,                 1.6947,                 1.5707,                 1.0796,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.8566,                 1.8324,                 1.1048,                0.67867,                0.33478,                0.34463,                0.21448,                 1.5867,                 1.5067,                 1.0269,               0.006642,               0.006642,               0.006642
                      3,                 1.8419,                 1.7161,                 1.0991,                0.56098,                 0.3605,                0.34824,                0.20362,                 1.6501,                 1.4239,                 1.0462,              0.0099314,              0.0099314,              0.0099314
                      4,                 1.7996,                 1.6212,                 1.0921,                0.45418,                0.42042,                0.39602,                0.22473,                 1.5856,                 1.3294,                  1.038,               0.009901,               0.009901,               0.009901
                      5,                 1.7504,                 1.4698,                 1.0788,                0.57986,                0.44161,                0.44477,                0.26028,                 1.5343,                 1.1601,                 1.0143,               0.009901,               0.009901,               0.009901
                      6,                 1.7094,                 1.3792,                  1.064,                0.55888,                0.46478,                0.43699,                0.25647,                 1.5306,                 1.1981,                 1.0198,               0.009868,               0.009868,               0.009868
                      7,                 1.6871,                 1.2826,                 1.0446,                0.45744,                0.47949,                0.46783,                0.26829,                 1.5677,                 1.1513,                 1.0192,               0.009835,               0.009835,               0.009835
                      8,                 1.6521,                 1.2511,                 1.0432,                0.56383,                0.47574,                0.50389,                0.30339,                 1.4462,                 1.0511,                0.99602,               0.009802,               0.009802,               0.009802
                      9,                 1.6213,                 1.2125,                 1.0341,                0.55906,                0.53932,                0.52414,                0.31435,                 1.4491,                 1.0852,                0.99253,               0.009769,               0.009769,               0.009769
                     10,                 1.5726,                 1.1455,                 1.0275,                0.67285,                0.51991,                0.56348,                0.35083,                 1.4516,                0.97309,                0.98921,               0.009736,               0.009736,               0.009736
                     11,                 1.5758,                 1.1329,                 1.0205,                0.56513,                0.59316,                0.55742,                 0.3439,                  1.383,                 1.0856,                0.98182,               0.009703,               0.009703,               0.009703
                     12,                 1.5671,                 1.1111,                 1.0191,                0.58276,                0.54882,                0.55166,                0.33583,                 1.4247,                 1.0178,                 0.9912,                0.00967,                0.00967,                0.00967
                     13,                 1.5418,                 1.0731,                 1.0095,                0.61876,                0.57766,                0.57796,                0.35425,                 1.3958,                0.98408,                0.97737,               0.009637,               0.009637,               0.009637
                     14,                 1.5428,                 1.0768,                 1.0133,                0.60738,                0.59668,                0.59894,                0.36637,                 1.3683,                 0.9861,                0.97658,               0.009604,               0.009604,               0.009604
                     15,                 1.5391,                 1.0575,                 1.0055,                0.62659,                0.59832,                 0.6075,                 0.3813,                 1.3463,                 0.9493,                0.96417,               0.009571,               0.009571,               0.009571
                     16,                 1.5117,                 1.0323,                 1.0025,                0.66284,                0.61929,                0.63703,                0.40221,                 1.3333,                 0.8926,                0.96388,               0.009538,               0.009538,               0.009538
                     17,                 1.4987,                   1.01,                0.99948,                 0.6205,                0.61266,                0.62288,                0.39047,                 1.3405,                 0.8715,                0.97033,               0.009505,               0.009505,               0.009505
                     18,                 1.4829,                 1.0112,                0.99695,                0.65883,                0.61819,                0.62945,                0.39896,                 1.3144,                0.87132,                0.96353,               0.009472,               0.009472,               0.009472
                     19,                 1.4826,                  1.002,                0.99638,                0.65083,                 0.6419,                0.64468,                0.41188,                 1.3106,                 0.8795,                0.95654,               0.009439,               0.009439,               0.009439
                     20,                 1.4882,                0.99547,                0.99496,                0.68532,                0.63607,                 0.6589,                0.41614,                 1.3159,                0.89654,                0.96556,               0.009406,               0.009406,               0.009406
                     21,                 1.4516,                0.98074,                0.99322,                0.67754,                0.64878,                0.67998,                0.43518,                 1.3009,                0.85411,                0.95538,               0.009373,               0.009373,               0.009373
                     22,                 1.4564,                0.96233,                0.98742,                0.64721,                0.64829,                0.65657,                0.41893,                 1.2988,                0.84806,                0.95577,                0.00934,                0.00934,                0.00934
                     23,                 1.4482,                0.96923,                0.98494,                0.66815,                0.62926,                0.64706,                0.41317,                 1.2938,                0.86213,                0.94944,               0.009307,               0.009307,               0.009307
                     24,                   1.45,                0.95588,                0.98467,                0.70509,                0.65529,                0.68216,                0.44334,                 1.2706,                0.87476,                0.94611,               0.009274,               0.009274,               0.009274
                     25,                 1.4488,                0.95216,                0.98172,                0.69301,                0.68131,                0.69825,                0.44963,                 1.2761,                0.83011,                0.94869,               0.009241,               0.009241,               0.009241
                     26,                 1.4523,                0.95629,                0.98242,                0.70274,                0.67838,                0.70254,                0.45164,                 1.2751,                0.81923,                 0.9483,               0.009208,               0.009208,               0.009208
                     27,                 1.4308,                0.92539,                0.98168,                0.71962,                0.67071,                0.71464,                0.46701,                 1.2905,                0.80623,                 0.9489,               0.009175,               0.009175,               0.009175
                     28,                 1.4336,                 0.9326,                0.97857,                0.72279,                0.70643,                 0.7366,                0.47232,                 1.2548,                0.79236,                0.94337,               0.009142,               0.009142,               0.009142
                     29,                 1.4238,                0.92688,                0.98117,                0.71801,                0.68238,                0.71961,                0.46623,                 1.2547,                 0.7931,                0.94209,               0.009109,               0.009109,               0.009109
                     30,                 1.4298,                0.92399,                0.97397,                0.72219,                0.68209,                0.72894,                0.48383,                  1.241,                0.77971,                0.93656,               0.009076,               0.009076,               0.009076
                     31,                 1.4268,                0.92323,                0.97237,                0.73289,                0.70129,                0.74603,                0.49129,                 1.2267,                0.77243,                0.93486,               0.009043,               0.009043,               0.009043
                     32,                 1.4084,                0.91214,                0.97205,                0.72762,                0.71926,                0.74662,                0.49074,                 1.2323,                0.76026,                 0.9342,                0.00901,                0.00901,                0.00901
                     33,                 1.4077,                0.89827,                0.96992,                0.69317,                0.70766,                0.73043,                0.48008,                 1.2334,                0.77223,                0.93547,               0.008977,               0.008977,               0.008977
                     34,                 1.4066,                0.90088,                 0.9688,                0.73375,                0.72239,                0.74077,                0.49156,                 1.2248,                0.75201,                0.93297,               0.008944,               0.008944,               0.008944
                     35,                 1.3919,                0.88739,                0.96867,                0.74325,                0.70843,                0.74792,                0.48818,                 1.2356,                0.75126,                 0.9316,               0.008911,               0.008911,               0.008911
                     36,                 1.3939,                 0.8847,                0.96831,                0.76399,                0.72268,                0.77438,                0.51943,                  1.214,                0.75336,                0.92951,               0.008878,               0.008878,               0.008878
                     37,                 1.3828,                0.88615,                0.96548,                0.75963,                0.71443,                0.76821,                0.51188,                 1.2196,                0.74588,                0.92903,               0.008845,               0.008845,               0.008845
                     38,                 1.3956,                0.88319,                  0.964,                0.75955,                0.73682,                0.77474,                0.51811,                 1.2115,                0.74719,                 0.9296,               0.008812,               0.008812,               0.008812
                     39,                 1.3853,                 0.8773,                0.96389,                0.77129,                0.72582,                0.77419,                0.51441,                 1.2132,                0.74154,                0.92887,               0.008779,               0.008779,               0.008779
                     40,                 1.3683,                0.86745,                0.96315,                0.74475,                0.72441,                0.77526,                0.52287,                 1.2298,                0.74661,                0.93011,               0.008746,               0.008746,               0.008746
                     41,                 1.3863,                0.87404,                 0.9631,                0.74499,                0.71557,                0.76841,                0.51014,                 1.2073,                0.73777,                0.92923,               0.008713,               0.008713,               0.008713
                     42,                 1.3666,                0.87307,                0.96377,                0.79943,                0.73969,                0.80547,                0.54637,                 1.2067,                 0.7183,                0.92618,                0.00868,                0.00868,                0.00868
                     43,                 1.3767,                0.87011,                0.96423,                 0.7996,                0.73537,                0.79319,                0.53887,                 1.1954,                0.72597,                0.92631,               0.008647,               0.008647,               0.008647
                     44,                 1.3654,                0.85947,                0.96356,                0.79432,                0.75322,                  0.803,                0.54032,                 1.1991,                0.71225,                0.92351,               0.008614,               0.008614,               0.008614
                     45,                 1.3618,                0.85846,                0.96336,                0.79021,                0.75623,                0.80817,                0.54853,                 1.1859,                 0.7076,                0.92017,               0.008581,               0.008581,               0.008581
                     46,                 1.3617,                 0.8542,                0.95958,                0.78773,                0.73887,                0.80156,                0.54497,                 1.1891,                0.71368,                0.92149,               0.008548,               0.008548,               0.008548
                     47,                 1.3486,                0.83929,                0.95624,                0.80867,                0.74927,                 0.8114,                0.55775,                 1.1834,                0.69342,                0.91884,               0.008515,               0.008515,               0.008515
                     48,                 1.3542,                0.84736,                0.95671,                0.80241,                 0.7573,                0.81342,                0.55209,                 1.1781,                0.69754,                0.91659,               0.008482,               0.008482,               0.008482
                     49,                  1.353,                0.84236,                0.95368,                0.79018,                0.76214,                0.81639,                 0.5587,                 1.1776,                 0.6932,                 0.9174,               0.008449,               0.008449,               0.008449
                     50,                 1.3552,                 0.8367,                0.95395,                 0.7971,                0.76652,                0.82309,                0.56104,                  1.177,                0.68638,                0.91605,               0.008416,               0.008416,               0.008416
                     51,                 1.3503,                0.83881,                0.95468,                0.79677,                0.76794,                0.82025,                0.56728,                 1.1776,                 0.6986,                0.91683,               0.008383,               0.008383,               0.008383
                     52,                 1.3559,                 0.8442,                0.95352,                0.80602,                0.76255,                0.80953,                0.55575,                 1.1713,                0.68787,                0.91806,                0.00835,                0.00835,                0.00835
                     53,                 1.3442,                0.83415,                0.95118,                0.81052,                 0.7637,                0.81661,                 0.5617,                  1.167,                0.68691,                0.91562,               0.008317,               0.008317,               0.008317
                     54,                 1.3514,                0.83144,                0.95077,                0.81775,                0.75822,                0.81777,                0.56189,                 1.1722,                0.68609,                0.91536,               0.008284,               0.008284,               0.008284
                     55,                 1.3433,                0.83264,                0.95193,                 0.8281,                0.76874,                0.83785,                0.57869,                 1.1594,                  0.684,                0.91197,               0.008251,               0.008251,               0.008251
                     56,                 1.3311,                0.82601,                0.95557,                0.80239,                0.76592,                0.81738,                0.56325,                 1.1639,                0.68546,                 0.9129,               0.008218,               0.008218,               0.008218
                     57,                 1.3325,                0.82434,                 0.9499,                0.80306,                0.77098,                0.82093,                0.56531,                 1.1578,                0.68069,                0.91417,               0.008185,               0.008185,               0.008185
                     58,                 1.3571,                0.83035,                0.94762,                0.81375,                0.78026,                0.83364,                0.57773,                 1.1574,                0.67119,                0.91159,               0.008152,               0.008152,               0.008152
                     59,                 1.3229,                0.81949,                 0.9524,                0.81735,                0.79401,                0.84608,                 0.5915,                  1.156,                0.66793,                0.90983,               0.008119,               0.008119,               0.008119
                     60,                 1.3203,                0.81019,                 0.9479,                0.84424,                0.78911,                0.85227,                0.60044,                 1.1486,                0.65928,                0.91003,               0.008086,               0.008086,               0.008086
                     61,                  1.332,                0.81911,                0.95095,                 0.8173,                 0.7767,                 0.8363,                0.57771,                 1.1631,                0.67269,                0.91303,               0.008053,               0.008053,               0.008053
                     62,                 1.3207,                0.81264,                0.94861,                0.83346,                0.78053,                0.84337,                0.58703,                  1.146,                0.66403,                0.90771,                0.00802,                0.00802,                0.00802
                     63,                 1.3148,                  0.802,                0.94387,                0.82651,                0.79018,                0.84606,                0.58998,                  1.146,                0.66462,                0.90844,               0.007987,               0.007987,               0.007987
                     64,                 1.3156,                0.80392,                0.94583,                0.84656,                0.78919,                0.85646,                0.60499,                 1.1411,                0.65553,                0.90781,               0.007954,               0.007954,               0.007954
                     65,                 1.3268,                0.81284,                0.94404,                0.86138,                0.79239,                0.85355,                0.59909,                 1.1358,                0.65358,                0.90723,               0.007921,               0.007921,               0.007921
                     66,                 1.3035,                0.79621,                0.94623,                0.84203,                0.78797,                0.85183,                0.59928,                 1.1407,                0.65563,                0.90746,               0.007888,               0.007888,               0.007888
                     67,                 1.3056,                0.80059,                 0.9442,                0.85661,                0.79446,                0.85858,                0.60548,                 1.1344,                0.65116,                0.90568,               0.007855,               0.007855,               0.007855
                     68,                 1.3153,                0.80196,                0.94583,                0.86102,                0.79897,                0.86147,                0.60679,                   1.13,                0.64587,                0.90392,               0.007822,               0.007822,               0.007822
                     69,                 1.3134,                0.79886,                0.94539,                0.84301,                0.79608,                0.85551,                0.60257,                 1.1332,                0.65079,                0.90541,               0.007789,               0.007789,               0.007789
                     70,                  1.314,                0.79837,                0.94511,                0.83206,                0.79514,                0.85683,                0.60627,                 1.1333,                0.64885,                0.90544,               0.007756,               0.007756,               0.007756
                     71,                  1.305,                0.79771,                0.94134,                0.84958,                 0.8097,                0.86833,                0.61126,                 1.1334,                0.64124,                0.90447,               0.007723,               0.007723,               0.007723
                     72,                 1.3056,                0.78733,                0.94202,                0.85123,                0.80379,                0.86951,                0.61742,                 1.1277,                 0.6377,                0.90328,                0.00769,                0.00769,                0.00769
                     73,                 1.2997,                0.79017,                 0.9407,                0.85292,                0.80565,                0.86648,                0.61511,                 1.1225,                0.63968,                0.90103,               0.007657,               0.007657,               0.007657
                     74,                 1.3059,                0.79272,                0.94133,                0.84445,                0.80448,                 0.8642,                0.61252,                 1.1162,                0.63947,                0.90005,               0.007624,               0.007624,               0.007624
                     75,                 1.3149,                0.79222,                0.94362,                0.85587,                0.82092,                0.87085,                0.61978,                 1.1132,                0.63527,                 0.9007,               0.007591,               0.007591,               0.007591
                     76,                 1.2942,                0.79008,                 0.9396,                0.84734,                 0.8121,                0.86731,                0.61428,                  1.114,                0.63571,                0.90077,               0.007558,               0.007558,               0.007558
                     77,                 1.2982,                0.78962,                0.93961,                0.85361,                0.80875,                0.86985,                0.62225,                  1.108,                 0.6292,                0.89905,               0.007525,               0.007525,               0.007525
                     78,                  1.287,                 0.7759,                0.93894,                0.84431,                0.81968,                0.87322,                0.62699,                 1.1091,                0.62915,                0.89934,               0.007492,               0.007492,               0.007492
                     79,                 1.2974,                 0.7792,                0.93559,                0.86633,                0.81095,                0.87356,                0.62309,                 1.1128,                0.62734,                0.89896,               0.007459,               0.007459,               0.007459
                     80,                 1.2966,                0.78753,                0.93741,                0.85339,                0.81204,                0.87608,                0.62892,                 1.1048,                  0.628,                0.89697,               0.007426,               0.007426,               0.007426
                     81,                 1.3014,                0.79086,                0.93816,                0.86544,                  0.819,                0.88203,                0.63743,                 1.1021,                  0.624,                0.89641,               0.007393,               0.007393,               0.007393
                     82,                 1.2992,                0.78019,                0.93436,                0.86795,                0.81155,                0.87443,                0.62802,                  1.103,                0.62451,                0.89868,                0.00736,                0.00736,                0.00736
                     83,                 1.2918,                0.77613,                0.93939,                 0.8557,                0.81862,                0.87774,                0.63208,                  1.098,                0.61955,                0.89673,               0.007327,               0.007327,               0.007327
                     84,                 1.2933,                0.78182,                0.93975,                0.86162,                 0.8187,                0.87866,                0.63529,                 1.0978,                0.61883,                0.89715,               0.007294,               0.007294,               0.007294
                     85,                 1.2918,                0.77543,                0.93906,                 0.8747,                 0.8187,                0.88214,                0.63724,                 1.0922,                0.61605,                0.89507,               0.007261,               0.007261,               0.007261
                     86,                 1.2926,                0.77562,                0.93838,                0.87144,                0.82131,                 0.8841,                 0.6397,                 1.0964,                0.61425,                0.89438,               0.007228,               0.007228,               0.007228
                     87,                 1.2792,                0.76264,                0.93517,                0.86532,                0.82707,                0.88401,                0.64094,                 1.0966,                0.61569,                0.89507,               0.007195,               0.007195,               0.007195
                     88,                 1.2816,                0.76592,                0.93482,                0.86003,                0.82047,                0.88331,                0.64003,                 1.0932,                 0.6139,                0.89432,               0.007162,               0.007162,               0.007162
                     89,                 1.2939,                0.77156,                0.93363,                0.88344,                0.81602,                0.88682,                0.64226,                 1.0853,                0.61053,                 0.8933,               0.007129,               0.007129,               0.007129
                     90,                 1.2638,                0.75944,                  0.934,                0.86964,                0.82542,                0.88583,                0.64471,                 1.0891,                0.61072,                0.89417,               0.007096,               0.007096,               0.007096
                     91,                 1.2742,                0.76077,                0.93062,                0.87189,                0.82527,                0.88814,                0.65159,                 1.0827,                0.60645,                0.89253,               0.007063,               0.007063,               0.007063
                     92,                 1.2656,                 0.7543,                0.93087,                0.87484,                0.82825,                0.88702,                0.65097,                 1.0848,                0.60501,                 0.8926,                0.00703,                0.00703,                0.00703
                     93,                 1.2584,                0.75463,                0.93333,                0.86984,                0.83338,                0.88577,                0.64805,                 1.0846,                 0.6064,                0.89286,               0.006997,               0.006997,               0.006997
                     94,                 1.2679,                0.75369,                0.93112,                0.86837,                0.82744,                0.88363,                0.64847,                  1.082,                0.60679,                0.89195,               0.006964,               0.006964,               0.006964
                     95,                 1.2699,                0.75269,                0.92921,                0.86703,                0.83357,                0.88801,                 0.6521,                 1.0794,                0.60384,                  0.891,               0.006931,               0.006931,               0.006931
                     96,                 1.2742,                0.75296,                0.93208,                 0.8646,                0.83388,                0.88972,                0.65076,                 1.0795,                0.60414,                0.89085,               0.006898,               0.006898,               0.006898
                     97,                 1.2597,                0.75257,                0.92868,                0.87021,                0.83641,                0.89198,                0.65527,                  1.082,                0.60143,                0.89116,               0.006865,               0.006865,               0.006865
                     98,                 1.2721,                0.75756,                0.93075,                0.87437,                0.83065,                0.89052,                0.65218,                 1.0817,                0.60162,                0.89158,               0.006832,               0.006832,               0.006832
                     99,                 1.2721,                0.75928,                0.93197,                0.86928,                0.84249,                0.89449,                0.65541,                 1.0741,                0.60023,                0.88974,               0.006799,               0.006799,               0.006799
                    100,                 1.2782,                0.75846,                0.93142,                0.87388,                0.83413,                0.89485,                0.65437,                 1.0747,                0.59924,                0.88904,               0.006766,               0.006766,               0.006766
                    101,                 1.2633,                0.74684,                0.93275,                0.88865,                0.83702,                0.89702,                0.65956,                 1.0691,                 0.5954,                0.88773,               0.006733,               0.006733,               0.006733
                    102,                 1.2695,                0.75203,                0.93107,                0.88095,                0.83791,                0.89551,                0.65664,                 1.0723,                0.59512,                0.88954,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.2602,                0.74997,                0.93117,                0.88248,                0.84234,                0.89923,                0.66079,                 1.0691,                0.59495,                0.88837,               0.006667,               0.006667,               0.006667
                    104,                 1.2708,                0.75508,                0.92861,                0.88844,                0.84122,                0.89968,                0.66346,                 1.0715,                 0.5934,                0.88796,               0.006634,               0.006634,               0.006634
